============= Dilithium-III
[0m[1;31m     LWE instance generation    [0m
n=1280	m=1536	q=8380417
dim = 2654, m = 1373, dvol = 19371.02384334926, β = 623.6116

Generate gs-lengths by GSA assumption...enumbs min_G_prec = 0.001
 Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
v1. beta_start= 50, gap = 1, J = 100, J_gap = 3, cost_model = 1, max_loop = 1, threads = 60, G_prec = 1.000000e-03,  slope_prec = 1.000000e-04,  progressive_sieve = True, worst_case = 0, succ_prob = 0.999, Find minimal time cost strategy, average_case, theo_pnjbkz_d4f = 2, theo_pump_d4f = 2, list_decoding = `matzov22`. 


 index:        2, (  57,   4): (  50, 100) --> (1499,   1), goal index:     1363, cost = 
 index:        3, (  58,   4): (  51, 100) --> (1499,   1), goal index:     1366, cost = 
 index:        4, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1394, cost = 
 index:        5, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1399, cost = 
 index:        6, (  58,   4): (  51, 100) --> (1499,   1), goal index:     1405, cost = 
 index:        7, (  58,   4): (  51, 100) --> (1499,   1), goal index:     1375, cost = 
 index:        8, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1403, cost = 
 index:        9, (  58,   4): (  51, 100) --> (1499,   1), goal index:     1422, cost = 
 index:       10, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1426, cost = 
 index:       11, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1448, cost = 
 index:      114, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1575, cost = 
 index:      115, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1594, cost = 
 index:      116, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1612, cost = 
 index:      117, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1628, cost = 
 index:      118, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1593, cost = 
 index:      119, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1612, cost = 
 index:      120, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1616, cost = 
 index:      121, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1638, cost = 
 index:      122, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1653, cost = 
 index:      123, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1588, cost = 
 index:      124, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1606, cost = 
 index:      125, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1625, cost = 
 index:      126, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1643, cost = 
 index:      127, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1658, cost = 
 index:      128, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1603, cost = 
 index:      129, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1622, cost = 
 index:      130, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1641, cost = 
 index:      131, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1511, cost = 
 index:      132, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1538, cost = 
 index:      133, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1557, cost = 
 index:      134, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1576, cost = 
 index:      135, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1579, cost = 
 index:      136, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1597, cost = 
 index:      137, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1616, cost = 
 index:      138, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1634, cost = 
 index:      139, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1650, cost = 
 index:      140, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1615, cost = 
 index:      141, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1634, cost = 
 index:      142, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1636, cost = 
 index:      143, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1658, cost = 
 index:      144, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1673, cost = 
 index:      145, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1608, cost = 
 index:      146, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1626, cost = 
 index:      147, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1645, cost = 
 index:      148, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1662, cost = 
 index:      149, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1678, cost = 
 index:      150, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1624, cost = 
 index:      151, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1643, cost = 
 index:      152, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1662, cost = 
 index:      153, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1540, cost = 
 index:      154, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1566, cost = 
 index:      155, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1584, cost = 
 index:      156, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1603, cost = 
 index:      157, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1605, cost = 
 index:      158, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1623, cost = 
 index:      159, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1642, cost = 
 index:      160, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1660, cost = 
 index:      161, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1675, cost = 
 index:      162, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1640, cost = 
 index:      163, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1657, cost = 
 index:      164, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1659, cost = 
 index:      165, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1681, cost = 
 index:      166, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1694, cost = 
 index:      167, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1630, cost = 
 index:      168, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1649, cost = 
 index:      169, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1668, cost = 
 index:      170, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1685, cost = 
 index:      171, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1701, cost = 
 index:      172, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1649, cost = 
 index:      173, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1668, cost = 
 index:      174, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1687, cost = 
 index:      175, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1705, cost = 
 index:      176, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1708, cost = 
 index:      177, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1724, cost = 
 index:      178, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1721, cost = 
 index:      179, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1669, cost = 
 index:      180, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1688, cost = 
 index:      181, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1706, cost = 
 index:      182, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1709, cost = 
 index:      183, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1573, cost = 
 index:      184, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1599, cost = 
 index:      185, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1616, cost = 
 index:      186, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1635, cost = 
 index:      187, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1654, cost = 
 index:      188, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1652, cost = 
 index:      189, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1669, cost = 
 index:      190, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1688, cost = 
 index:      191, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1699, cost = 
 index:      192, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1713, cost = 
 index:      193, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1728, cost = 
 index:      194, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1678, cost = 
 index:      195, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1695, cost = 
 index:      196, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1695, cost = 
 index:      197, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1714, cost = 
 index:      198, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1730, cost = 
 index:      199, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1745, cost = 
 index:      200, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1675, cost = 
 index:      201, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1694, cost = 
 index:      202, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1713, cost = 
 index:      203, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1716, cost = 
 index:      204, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1732, cost = 
 index:      205, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1729, cost = 
 index:      206, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1672, cost = 
 index:      207, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1691, cost = 
 index:      208, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1710, cost = 
 index:      209, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1713, cost = 
 index:      210, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1728, cost = 
 index:      211, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1744, cost = 
 index:      212, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1698, cost = 
 index:      213, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1717, cost = 
 index:      214, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1720, cost = 
 index:      215, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1735, cost = 
 index:      216, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1605, cost = 
 index:      217, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1631, cost = 
 index:      218, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1648, cost = 
 index:      219, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1666, cost = 
 index:      220, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1685, cost = 
 index:      221, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1683, cost = 
 index:      222, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1700, cost = 
 index:      223, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1718, cost = 
 index:      224, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1729, cost = 
 index:      225, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1743, cost = 
 index:      226, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1757, cost = 
 index:      227, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1708, cost = 
 index:      228, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1726, cost = 
 index:      229, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1745, cost = 
 index:      230, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1761, cost = 
 index:      231, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1775, cost = 
 index:      232, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1706, cost = 
 index:      233, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1724, cost = 
 index:      234, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1742, cost = 
 index:      235, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1742, cost = 
 index:      236, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1756, cost = 
 index:      237, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1700, cost = 
 index:      238, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1718, cost = 
 index:      239, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1736, cost = 
 index:      240, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1736, cost = 
 index:      241, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1750, cost = 
 index:      242, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1765, cost = 
 index:      243, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1764, cost = 
 index:      244, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1721, cost = 
 index:      245, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1738, cost = 
 index:      246, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1738, cost = 
 index:      247, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1752, cost = 
 index:      248, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1635, cost = 
 index:      249, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1660, cost = 
 index:      250, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1677, cost = 
 index:      251, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1695, cost = 
 index:      252, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1714, cost = 
 index:      253, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1713, cost = 
 index:      254, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1730, cost = 
 index:      255, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1748, cost = 
 index:      256, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1759, cost = 
 index:      257, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1773, cost = 
 index:      258, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1788, cost = 
 index:      259, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1737, cost = 
 index:      260, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1755, cost = 
 index:      261, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1774, cost = 
 index:      262, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1790, cost = 
 index:      263, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1804, cost = 
 index:      264, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1736, cost = 
 index:      265, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1754, cost = 
 index:      266, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1771, cost = 
 index:      267, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1771, cost = 
 index:      268, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1785, cost = 
 index:      269, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1729, cost = 
 index:      270, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1747, cost = 
 index:      271, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1764, cost = 
 index:      272, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1764, cost = 
 index:      273, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1778, cost = 
 index:      274, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1794, cost = 
 index:      275, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1751, cost = 
 index:      276, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1770, cost = 
 index:      277, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1784, cost = 
 index:      278, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1663, cost = 
 index:      279, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1688, cost = 
 index:      280, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1705, cost = 
 index:      281, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1723, cost = 
 index:      282, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1742, cost = 
 index:      283, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1741, cost = 
 index:      284, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1758, cost = 
 index:      285, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1776, cost = 
 index:      286, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1786, cost = 
 index:      287, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1800, cost = 
 index:      288, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1815, cost = 
 index:      289, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1763, cost = 
 index:      290, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1781, cost = 
 index:      291, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1799, cost = 
 index:      292, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1815, cost = 
 index:      293, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1830, cost = 
 index:      294, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1762, cost = 
 index:      295, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1780, cost = 
 index:      296, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1798, cost = 
 index:      297, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1812, cost = 
 index:      298, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1758, cost = 
 index:      299, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1776, cost = 
 index:      300, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1794, cost = 
 index:      301, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1808, cost = 
 index:      302, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1823, cost = 
 index:      303, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1779, cost = 
 index:      304, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1797, cost = 
 index:      305, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1811, cost = 
 index:      306, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1691, cost = 
 index:      307, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1716, cost = 
 index:      308, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1733, cost = 
 index:      309, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1751, cost = 
 index:      310, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1769, cost = 
 index:      311, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1768, cost = 
 index:      312, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1785, cost = 
